kingdom_number,kvk_number,opponent_kingdom,prep_result,battle_result,overall_result,kvk_date,order_index
36,6,12,L,L,Loss,"Oct 11, 2025",6
36,7,58,W,W,Win,"Nov 8, 2025",7
36,8,25,W,W,Win,"Dec 6, 2025",8
36,9,61,L,W,Battle,"Jan 3, 2026",9
37,2,22,W,L,Preparation,"Jun 21, 2025",2
37,3,53,W,L,Preparation,"Jul 19, 2025",3
37,4,140,L,W,Battle,"Aug 16, 2025",4
37,5,32,W,W,Win,"Sep 13, 2025",5
37,6,27,L,L,Loss,"Oct 11, 2025",6
37,7,40,W,L,Preparation,"Nov 8, 2025",7
37,8,68,L,W,Battle,"Dec 6, 2025",8
37,9,19,L,W,Battle,"Jan 3, 2026",9
38,2,62,L,W,Battle,"Jun 21, 2025",2
38,3,39,L,L,Loss,"Jul 19, 2025",3
38,4,152,L,W,Battle,"Aug 16, 2025",4
38,5,15,W,L,Preparation,"Sep 13, 2025",5
38,6,54,L,L,Loss,"Oct 11, 2025",6
38,7,43,L,W,Battle,"Nov 8, 2025",7
38,8,39,L,L,Loss,"Dec 6, 2025",8
38,9,42,L,W,Battle,"Jan 3, 2026",9
39,2,59,W,L,Preparation,"Jun 21, 2025",2
39,3,38,W,W,Win,"Jul 19, 2025",3
39,4,110,W,W,Win,"Aug 16, 2025",4
39,5,50,W,W,Win,"Sep 13, 2025",5
39,6,30,W,L,Preparation,"Oct 11, 2025",6
39,7,23,W,L,Preparation,"Nov 8, 2025",7
39,8,38,W,W,Win,"Dec 6, 2025",8
39,9,60,W,L,Preparation,"Jan 3, 2026",9
40,2,51,L,L,Loss,"Jun 21, 2025",2
40,3,29,W,W,Win,"Jul 19, 2025",3
40,4,172,L,L,Loss,"Aug 16, 2025",4
40,5,28,W,W,Win,"Sep 13, 2025",5
40,6,50,W,L,Preparation,"Oct 11, 2025",6
40,7,37,L,W,Battle,"Nov 8, 2025",7
40,8,77,L,W,Battle,"Dec 6, 2025",8
40,9,59,W,L,Preparation,"Jan 3, 2026",9
41,2,34,W,L,Preparation,"Jun 21, 2025",2
41,3,21,L,W,Battle,"Jul 19, 2025",3
41,4,105,L,L,Loss,"Aug 16, 2025",4
41,5,54,L,L,Loss,"Sep 13, 2025",5
41,6,34,W,W,Win,"Oct 11, 2025",6
41,7,48,L,L,Loss,"Nov 8, 2025",7
41,8,59,L,L,Loss,"Dec 6, 2025",8
41,9,53,L,W,Battle,"Jan 3, 2026",9
42,2,19,W,W,Win,"Jun 21, 2025",2
42,3,17,W,L,Preparation,"Jul 19, 2025",3
42,4,166,L,W,Battle,"Aug 16, 2025",4
42,5,67,W,W,Win,"Sep 13, 2025",5
42,6,13,W,W,Win,"Oct 11, 2025",6
42,7,24,L,L,Loss,"Nov 8, 2025",7
42,8,28,W,L,Preparation,"Dec 6, 2025",8
42,9,38,W,L,Preparation,"Jan 3, 2026",9
43,2,9,W,W,Win,"Jun 21, 2025",2
43,3,22,W,W,Win,"Jul 19, 2025",3
43,4,113,L,W,Battle,"Aug 16, 2025",4
43,5,59,L,W,Battle,"Sep 13, 2025",5
43,6,67,L,L,Loss,"Oct 11, 2025",6
43,7,38,W,L,Preparation,"Nov 8, 2025",7
43,8,9,W,L,Preparation,"Dec 6, 2025",8
43,9,65,W,W,Win,"Jan 3, 2026",9
44,2,25,L,W,Battle,"Jun 21, 2025",2
44,3,15,W,W,Win,"Jul 19, 2025",3
44,4,163,L,L,Loss,"Aug 16, 2025",4
44,5,11,W,W,Win,"Sep 13, 2025",5
44,6,59,W,W,Win,"Oct 11, 2025",6
44,7,62,L,W,Battle,"Nov 8, 2025",7
44,8,45,L,L,Loss,"Dec 6, 2025",8
44,9,57,L,L,Loss,"Jan 3, 2026",9
45,2,10,W,W,Win,"Jun 21, 2025",2
45,3,57,L,W,Battle,"Jul 19, 2025",3
45,4,59,L,W,Battle,"Aug 16, 2025",4
45,5,18,W,W,Win,"Sep 13, 2025",5
45,6,57,W,W,Win,"Oct 11, 2025",6
45,7,3,W,L,Preparation,"Nov 8, 2025",7
45,8,44,W,W,Win,"Dec 6, 2025",8
45,9,62,L,W,Battle,"Jan 3, 2026",9
46,2,60,L,W,Battle,"Jun 21, 2025",2
46,3,10,L,L,Loss,"Jul 19, 2025",3
46,4,129,L,L,Loss,"Aug 16, 2025",4
46,5,55,W,W,Win,"Sep 13, 2025",5
46,6,28,W,W,Win,"Oct 11, 2025",6
46,7,54,L,W,Battle,"Nov 8, 2025",7
46,8,78,L,W,Battle,"Dec 6, 2025",8
46,9,50,W,W,Win,"Jan 3, 2026",9
47,2,27,W,W,Win,"Jun 21, 2025",2
47,3,58,L,L,Loss,"Jul 19, 2025",3
47,4,94,L,W,Battle,"Aug 16, 2025",4
47,5,66,L,L,Loss,"Sep 13, 2025",5
47,6,64,L,L,Loss,"Oct 11, 2025",6
47,7,16,W,W,Win,"Nov 8, 2025",7
47,8,104,W,L,Preparation,"Dec 6, 2025",8
47,9,35,W,W,Win,"Jan 3, 2026",9
48,2,54,L,W,Battle,"Jun 21, 2025",2
48,3,62,L,L,Loss,"Jul 19, 2025",3
48,4,84,L,W,Battle,"Aug 16, 2025",4
48,5,30,L,L,Loss,"Sep 13, 2025",5
48,6,56,L,L,Loss,"Oct 11, 2025",6
48,7,41,W,W,Win,"Nov 8, 2025",7
48,8,8,W,L,Preparation,"Dec 6, 2025",8
48,9,67,W,L,Preparation,"Jan 3, 2026",9
49,2,68,L,L,Loss,"Jun 21, 2025",2
49,3,64,W,W,Win,"Jul 19, 2025",3
49,4,85,W,W,Win,"Aug 16, 2025",4
49,5,16,W,W,Win,"Sep 13, 2025",5
49,6,19,L,L,Loss,"Oct 11, 2025",6
49,7,53,L,L,Loss,"Nov 8, 2025",7
49,8,87,L,L,Loss,"Dec 6, 2025",8
49,9,56,L,W,Battle,"Jan 3, 2026",9
50,2,67,L,L,Loss,"Jun 21, 2025",2
50,3,30,L,L,Loss,"Jul 19, 2025",3
50,4,56,W,W,Win,"Aug 16, 2025",4
50,5,39,L,L,Loss,"Sep 13, 2025",5
50,6,40,L,W,Battle,"Oct 11, 2025",6
50,7,56,L,W,Battle,"Nov 8, 2025",7
50,8,61,L,L,Loss,"Dec 6, 2025",8
50,9,46,L,L,Loss,"Jan 3, 2026",9
51,2,40,W,W,Win,"Jun 21, 2025",2
51,3,61,L,L,Loss,"Jul 19, 2025",3
51,4,145,L,W,Battle,"Aug 16, 2025",4
51,5,29,L,L,Loss,"Sep 13, 2025",5
51,6,32,L,L,Loss,"Oct 11, 2025",6
51,7,55,L,L,Loss,"Nov 8, 2025",7
51,8,89,L,W,Battle,"Dec 6, 2025",8
51,9,63,L,L,Loss,"Jan 3, 2026",9
52,2,31,W,W,Win,"Jun 21, 2025",2
52,3,63,L,L,Loss,"Jul 19, 2025",3
52,4,112,L,L,Loss,"Aug 16, 2025",4
52,5,23,L,L,Loss,"Sep 13, 2025",5
52,6,63,L,W,Battle,"Oct 11, 2025",6
52,7,65,W,W,Win,"Nov 8, 2025",7
52,8,79,L,L,Loss,"Dec 6, 2025",8
52,9,64,L,L,Loss,"Jan 3, 2026",9
53,2,75,W,L,Preparation,"Jun 21, 2025",2
53,3,37,L,W,Battle,"Jul 19, 2025",3
53,4,101,L,L,Loss,"Aug 16, 2025",4
53,5,34,L,L,Loss,"Sep 13, 2025",5
53,6,60,L,W,Battle,"Oct 11, 2025",6
53,7,49,W,W,Win,"Nov 8, 2025",7
53,8,74,W,W,Win,"Dec 6, 2025",8
53,9,41,W,L,Preparation,"Jan 3, 2026",9
54,2,48,W,L,Preparation,"Jun 21, 2025",2
54,3,32,L,L,Loss,"Jul 19, 2025",3
54,4,103,L,W,Battle,"Aug 16, 2025",4
54,5,41,W,W,Win,"Sep 13, 2025",5
54,6,38,W,W,Win,"Oct 11, 2025",6
54,7,46,W,L,Preparation,"Nov 8, 2025",7
54,8,94,W,W,Win,"Dec 6, 2025",8
54,9,66,W,L,Preparation,"Jan 3, 2026",9
55,2,84,L,L,Loss,"Jun 21, 2025",2
55,3,34,W,W,Win,"Jul 19, 2025",3
55,4,100,W,L,Preparation,"Aug 16, 2025",4
55,5,46,L,L,Loss,"Sep 13, 2025",5
55,6,31,W,W,Win,"Oct 11, 2025",6
55,7,51,W,W,Win,"Nov 8, 2025",7
55,8,97,L,L,Loss,"Dec 6, 2025",8
55,9,58,W,L,Preparation,"Jan 3, 2026",9
56,2,72,L,L,Loss,"Jun 21, 2025",2
56,3,23,L,W,Battle,"Jul 19, 2025",3
56,4,50,L,L,Loss,"Aug 16, 2025",4
56,5,22,L,W,Battle,"Sep 13, 2025",5
56,6,48,W,W,Win,"Oct 11, 2025",6
56,7,50,W,L,Preparation,"Nov 8, 2025",7
56,8,91,W,W,Win,"Dec 6, 2025",8
56,9,49,W,L,Preparation,"Jan 3, 2026",9
57,2,76,W,W,Win,"Jun 21, 2025",2
