,Transfer #1,"Sep 15, 2025",Transfer #2,"Nov 10, 2025",Transfer #3,"Jan 5, 2026",Transfer #4,"Jan 5, 2026"
Kingdom,Group,Status,Group,Status,Group,Status,Group,Leading
302,N/A,N/A,3,Ordinary,3,Ordinary,3,Leading
303,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
304,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
305,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
306,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
307,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
308,N/A,N/A,3,Ordinary,3,Leading,3,Ordinary
309,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
310,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
311,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
312,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
313,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
314,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
315,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
316,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
317,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
318,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
319,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
320,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
321,N/A,N/A,4,Ordinary,3,Ordinary,3,Leading
322,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
323,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
324,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
325,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
326,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
327,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
328,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
329,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
330,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
331,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
332,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
333,N/A,N/A,4,Leading,3,Ordinary,3,Ordinary
334,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
335,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
336,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
337,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
338,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
339,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
340,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
341,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
342,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
343,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
344,N/A,N/A,4,Ordinary,3,Ordinary,3,Ordinary
